"date","count","lang","page","rank","month","title"
2008-06-13,261,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-12,231,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-11,288,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-10,335,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-17,348,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-16,232,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-15,142,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-14,223,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-30,173,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-19,312,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-18,234,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-28,180,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-29,139,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-08,154,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-09,214,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-04,291,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-05,355,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-06,257,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-07,210,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-26,453,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-01,0,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-02,0,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-03,343,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-22,290,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-23,339,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-20,280,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-07-10,155,"de","Ausl%C3%A4nder","-1","200807","Ausländer"
2008-07-11,126,"de","Ausl%C3%A4nder","-1","200807","Ausländer"
2008-07-12,121,"de","Ausl%C3%A4nder","-1","200807","Ausländer"
2008-07-07,179,"de","Ausl%C3%A4nder","-1","200807","Ausländer"
2008-07-06,105,"de","Ausl%C3%A4nder","-1","200807","Ausländer"
2008-07-05,96,"de","Ausl%C3%A4nder","-1","200807","Ausländer"
2008-07-04,126,"de","Ausl%C3%A4nder","-1","200807","Ausländer"
2008-07-03,150,"de","Ausl%C3%A4nder","-1","200807","Ausländer"
2008-07-02,171,"de","Ausl%C3%A4nder","-1","200807","Ausländer"
2008-07-09,204,"de","Ausl%C3%A4nder","-1","200807","Ausländer"
2008-07-08,189,"de","Ausl%C3%A4nder","-1","200807","Ausländer"
2008-08-04,100,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-31,125,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-23,112,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-11,141,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-10,85,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-13,157,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-12,127,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-15,125,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-14,169,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-17,118,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-16,85,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-19,153,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-18,154,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-30,104,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-02,75,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-03,96,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-26,141,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-01,100,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-06,111,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-21,146,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-22,136,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-05,129,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-08,95,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-09,86,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-28,176,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-29,121,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-24,193,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-25,156,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-27,208,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-20,151,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-08-07,109,"de","Ausl%C3%A4nder","-1","200808","Ausländer"
2008-09-23,214,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
2008-09-02,241,"de","Ausl%C3%A4nder","-1","200809","Ausländer"
