"date","count","lang","page","rank","month","title"
2008-03-23,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-22,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-25,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-24,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-27,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-26,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-29,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-28,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-04-30,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-15,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-14,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-17,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-16,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-11,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-10,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-13,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-12,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-19,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-18,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-28,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-29,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-20,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-21,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-22,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-23,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-24,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-25,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-26,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-27,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-06,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-07,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-04,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-05,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-02,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-03,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-01,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-08,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-04-09,0,"de","Mare_Nostrum_(Marineoperation)","-1","200804","Mare_Nostrum_(Marineoperation)"
2008-05-31,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-12,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-13,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-10,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-11,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-16,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-17,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-14,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-15,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-18,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-19,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-29,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-28,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-23,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-22,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-21,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-20,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-27,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-26,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-25,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-24,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-01,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-03,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-02,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-05,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-04,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-07,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-06,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-09,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-08,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-05-30,0,"de","Mare_Nostrum_(Marineoperation)","-1","200805","Mare_Nostrum_(Marineoperation)"
2008-06-21,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-27,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-24,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-25,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-13,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-12,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-11,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-10,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-17,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-16,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-15,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-14,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-30,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-19,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-18,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-28,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-29,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-08,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-09,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-04,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-05,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-06,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-07,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-26,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-01,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-02,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-03,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-22,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
2008-06-23,0,"de","Mare_Nostrum_(Marineoperation)","-1","200806","Mare_Nostrum_(Marineoperation)"
